5,5,11,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
6,6,9,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
8,8,5,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
7,8,6,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
9,9,3,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
8,7,6,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
9,7,5,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
11,10,0,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
10,11,0,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
7,9,5,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
3,3,15,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
7,11,3,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
11,7,3,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
14,7,0,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
7,14,0,[1 2 3 4],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5],[1 2 3 5]
